CMDLINE /Users/shamik/anaconda3/envs/uEnv/bin/python3.10 jax_cone.py
MEM 0.171875 1685664025.5213
MEM 31.406250 1685664025.6265
MEM 52.796875 1685664025.7317
MEM 85.656250 1685664025.8368
MEM 99.968750 1685664025.9419
MEM 110.500000 1685664026.0470
MEM 124.734375 1685664026.1521
MEM 131.906250 1685664026.2572
MEM 136.703125 1685664026.3582
MEM 144.453125 1685664026.4634
MEM 152.859375 1685664026.5685
MEM 167.218750 1685664026.6737
MEM 171.781250 1685664026.7788
MEM 203.734375 1685664026.8839
MEM 203.953125 1685664026.9890
MEM 203.953125 1685664027.0942
MEM 203.968750 1685664027.1944
MEM 204.453125 1685664027.2996
MEM 204.453125 1685664027.4047
MEM 204.468750 1685664027.5098
MEM 204.468750 1685664027.6149
MEM 204.468750 1685664027.7186
MEM 204.765625 1685664027.8237
MEM 204.781250 1685664027.9287
MEM 204.781250 1685664028.0339
MEM 204.781250 1685664028.1366
MEM 204.781250 1685664028.2417
MEM 204.781250 1685664028.3468
MEM 204.781250 1685664028.4518
MEM 204.781250 1685664028.5569
MEM 204.781250 1685664028.6620
MEM 204.812500 1685664028.7663
MEM 204.812500 1685664028.8714
MEM 204.859375 1685664028.9766
MEM 204.859375 1685664029.0817
MEM 204.875000 1685664029.1868
MEM 204.921875 1685664029.2904
MEM 204.921875 1685664029.3955
MEM 204.921875 1685664029.5006
MEM 204.921875 1685664029.6057
MEM 204.921875 1685664029.7075
MEM 204.921875 1685664029.8121
MEM 205.000000 1685664029.9171
MEM 205.031250 1685664030.0222
MEM 205.031250 1685664030.1273
MEM 205.031250 1685664030.2324
MEM 205.031250 1685664030.3366
MEM 205.031250 1685664030.4373
MEM 205.031250 1685664030.5424
MEM 205.031250 1685664030.6458
MEM 205.031250 1685664030.7509
MEM 205.031250 1685664030.8561
MEM 205.031250 1685664030.9609
MEM 205.031250 1685664031.0659
MEM 205.031250 1685664031.1710
MEM 205.031250 1685664031.2761
MEM 205.031250 1685664031.3812
MEM 205.031250 1685664031.4863
MEM 205.031250 1685664031.5867
MEM 205.031250 1685664031.6873
MEM 205.031250 1685664031.7924
MEM 205.031250 1685664031.8975
MEM 205.031250 1685664032.0026
MEM 205.031250 1685664032.1077
MEM 226.812500 1685664032.2128
MEM 269.937500 1685664032.3180
MEM 271.187500 1685664032.4231
MEM 272.078125 1685664032.5282
MEM 272.875000 1685664032.6286
MEM 273.609375 1685664032.7336
MEM 274.343750 1685664032.8367
MEM 275.515625 1685664032.9418
MEM 276.875000 1685664033.0469
MEM 277.484375 1685664033.1519
MEM 277.484375 1685664033.2570
MEM 277.484375 1685664033.3621
MEM 277.687500 1685664033.4672
MEM 278.359375 1685664033.5679
MEM 281.343750 1685664033.6729
